scenario_id,driver_id,label,sensitivity_only,nominal_band_covers_target,profile,equivalent_throat_diameter_m,mouth_diameter_m,length_m,body_diameter_m,body_length_m,outer_throat_diameter_mm,radial_gap_mm,throat_area_cm2,compression_ratio,ripple_db,mean_spl_db,spl_500_db,spl_6500_db,level_6500_relative_mid_db,max_excursion_mm,max_throat_speed_m_s
celestion-cf0617m-le029,celestion-cf0617m,Celestion CF0617M — Le 0.29 mH sensitivity,True,True,os,0.068,0.21,0.2,0.064,0.1,93.38094023943002,14.690470119715005,36.316811075498016,4.238808294042624,11.518262892709913,103.64360178420526,105.10974623062032,95.98103315941893,-9.28931387550648,0.03195547517612949,0.3608495675626365
lavoce-man061-80,lavoce-man061-80,LaVoce MAN061.80,False,False,os,0.042,0.28,0.25,0.064,0.1,76.55063683601855,6.275318418009275,13.85442360233099,9.527642851759719,11.519758450730578,107.19119508497421,102.45620891026311,102.61575759910568,-6.173125601611375,0.03669767461665754,0.8281991089438939
phl-1660ndm,phl-1660ndm,PHL 1660NdM,False,False,conical,0.068,0.28,0.15,0.064,0.1,93.38094023943002,14.690470119715005,36.316811075498016,4.130318592350225,11.525045898519636,101.35867848706955,103.95626702525803,93.0599186326796,-10.371193915384083,0.05971957187491024,0.5588627565055085
phl-1683-26,phl-1683-26,PHL 1683-26,False,False,conical,0.042,0.21,0.125,0.064,0.1,76.55063683601855,6.275318418009275,13.85442360233099,9.311105514219726,11.52721665314769,101.2914997262104,100.34642497839297,92.05880516164339,-10.355682938070103,0.05500829661432538,1.1829303649130007
phl-1663,phl-1663,PHL 1663,False,False,conical,0.047,0.28,0.2,0.064,0.1,79.40403012442127,7.7020150622106325,17.349445429449634,8.645809493448366,11.527559193919515,104.03864066529428,104.92053545152868,95.61352843634354,-10.058546217446207,0.05268678821978121,1.0384928358578716
bc-6pev13,bc-6pev13,BC 6PEV13,False,True,exponential,0.052,0.19,0.125,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.2155184876124805,11.527596785712987,102.81920117430451,100.82980384513871,94.12951528517428,-10.51287406967009,0.05745948240214114,0.8310692058322463
bc-6pev13,bc-6pev13,BC 6PEV13,False,True,conical,0.042,0.245,0.2,0.064,0.1,76.55063683601855,6.275318418009275,13.85442360233099,9.527642851759719,11.529923071494935,104.7464521548446,105.933731258708,96.42608903039955,-9.03626881734722,0.055469803240386466,1.2486927145451512
celestion-cf0617m-le029,celestion-cf0617m,Celestion CF0617M — Le 0.29 mH sensitivity,True,True,hyperbolic,0.06,0.21,0.15,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,5.444513764348082,11.530544204484727,103.87901884789764,99.19942185498952,96.588339592283,-9.593777753960495,0.033873773932604136,0.4372194812889256
lavoce-maf061-50,lavoce-maf061-50,LaVoce MAF061.50,False,False,hyperbolic,0.068,0.28,0.15,0.064,0.1,93.38094023943002,14.690470119715005,36.316811075498016,3.6346803612681975,11.535262564233477,105.4440442815734,100.50382602590261,99.15883789347538,-8.924973533201737,0.05226698813220876,0.44005085154162954
phl-1120,phl-1120,PHL 1120,False,False,conical,0.06,0.28,0.3,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,5.305164769729846,11.541097608039578,103.01501318918099,101.90053837261543,94.92336039754171,-10.475222615401862,0.05165931404888394,0.6227629400942821
phl-1120ndu,phl-1120ndu,PHL 1120NdU,False,False,conical,0.06,0.28,0.3,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,5.305164769729846,11.541097608039578,103.01501318918099,101.90053837261543,94.92336039754171,-10.475222615401862,0.05165931404888394,0.6227629400942821
beyma-6mi100,beyma-6mi100,Beyma 6MI100,False,True,hyperbolic,0.052,0.21,0.25,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.592216577770813,11.545999529495774,103.83246414264137,105.1024280451815,95.9197815999142,-9.40203558367763,0.02602144659845711,0.4370095524941237
bc-6mdn44-8,bc-6mdn44-8,BC 6MDN44,False,False,conical,0.06,0.19,0.125,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.668544997362264,11.546126986602701,101.22579308957843,101.01667483347534,93.1068411343436,-9.404728712364658,0.052418847650983605,0.5648940439683242
phl-1660ndm,phl-1660ndm,PHL 1660NdM,False,False,conical,0.042,0.245,0.15,0.064,0.1,76.55063683601855,6.275318418009275,13.85442360233099,10.826866876999683,11.546216883473761,102.17324573117632,103.03077465707581,92.94131171311008,-10.321640450662656,0.05189183134343336,1.2943819931321168
bc-6pev13,bc-6pev13,BC 6PEV13,False,True,exponential,0.052,0.245,0.15,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.2155184876124805,11.546665342395258,104.51445681748766,102.5070162908529,96.30653966900768,-9.903492560354906,0.059143405451079406,0.851813065728891
celestion-cf0617m-le029,celestion-cf0617m,Celestion CF0617M — Le 0.29 mH sensitivity,True,True,exponential,0.047,0.21,0.2,0.064,0.1,79.40403012442127,7.7020150622106325,17.349445429449634,8.872906089476276,11.54869337511225,104.65592380619151,103.84655434669659,96.91239849978807,-8.547189181975213,0.027728515058956252,0.6650226928377334
redcatt-dr-6p5-006-8r-b2-c0001,redcatt-dr-6p5-006-8r-b2-c0001,REDCATT 6NPM,False,False,hyperbolic,0.042,0.245,0.25,0.064,0.1,76.55063683601855,6.275318418009275,13.85442360233099,10.328831000657695,11.550253010869241,108.04950894245073,102.96516077316588,101.87865712288604,-7.364999909760854,0.019993386732756184,0.5483025681777777
celestion-cf0617m-le029,celestion-cf0617m,Celestion CF0617M — Le 0.29 mH sensitivity,True,True,hyperbolic,0.076,0.28,0.3,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,3.393395005480107,11.550705315104395,105.21420337552058,106.32893865412808,97.37101907104575,-9.787264552284299,0.04461305516162069,0.3414891850517167
beyma-6mcf200nd,beyma-6mcf200nd,Beyma 6MCF200Nd,False,True,hyperbolic,0.047,0.28,0.2,0.064,0.1,79.40403012442127,7.7020150622106325,17.349445429449634,8.069422193885142,11.551889086340225,109.86145864156471,102.61557360240795,105.77897301847528,-5.552101814169774,0.04233033958693384,0.8341295622487876
