profile,equivalent_throat_diameter_m,mouth_diameter_m,length_m,body_diameter_m,body_length_m,outer_throat_diameter_mm,radial_gap_mm,throat_area_cm2,compression_ratio,ripple_db,mean_spl_db,spl_7000_db,level_7000_relative_mid_db,max_excursion_mm,max_throat_speed_m_s,max_input_power_w
conical,0.06,0.28,0.3,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,9.331440118231711,106.97535982559467,106.0555023721748,-1.5679174348186962,0.09423478752701767,0.7368346706889992,1.4608207846708179
hyperbolic,0.076,0.28,0.25,0.064,0.1,99.35793878699377,17.678969393496885,45.36459791783661,2.8656707204911904,9.442953766900686,106.76368885578786,104.21320555143643,-3.807672546091325,0.10687333282571383,0.4469925310117299,1.4713791347923926
exponential,0.052,0.21,0.3,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.121343965072898,9.491158040546509,106.1795725412512,104.40880508146292,-2.57270495347025,0.07135838715940122,0.8423653297828448,1.4491432307875975
conical,0.06,0.32,0.25,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,9.520159623601273,107.32374485181363,107.00058788908584,-0.8820915527671076,0.12381754311573134,0.8216444547299029,1.4640640123941873
exponential,0.052,0.18,0.3,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.121343965072898,9.522084249113576,105.17362608584897,103.09751578119594,-2.892040083323323,0.08006369599691253,0.9224849982808544,1.4491024860699766
conical,0.052,0.245,0.25,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.121343965072898,9.526652166804993,106.54994637957435,105.56483508985332,-1.2594060076111475,0.10507692230438621,0.937903135275997,1.4529510001357693
conical,0.047,0.18,0.25,0.064,0.1,79.40403012442127,7.7020150622106325,17.349445429449634,7.493034894321917,9.538967989269068,105.1483505457935,103.30676205192675,-2.085279255909498,0.08332586821922545,0.9866974009509979,1.447967207760139
exponential,0.06,0.18,0.2,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,9.564115983046662,104.46126373136735,102.63131093962117,-2.0233455158136167,0.10733098973278718,0.7208004148781948,1.4556528595498215
hyperbolic,0.06,0.21,0.3,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,9.652645264775998,105.95586852894021,103.54041412962943,-3.401962099519153,0.061613756400363116,0.5585829493354286,1.465326928272735
os,0.06,0.21,0.25,0.064,0.1,87.72684879784524,11.863424398922614,28.274333882308138,4.597809467099199,9.665675803079026,105.7400383367686,103.63666754112376,-3.3285708051201652,0.09096581164229064,0.6167221111843957,1.4552201153746107
exponential,0.052,0.18,0.25,0.064,0.1,82.4621125123532,9.231056256176602,21.237166338267002,6.121343965072898,9.70657653277948,105.08924724365802,103.11306387133642,-2.532821809185961,0.08209166525701476,0.7703241697192362,1.4543561301648578
